Escuela,Cant. Reservas,Años,Cant. Años,Último Año,Contacto (último),Teléfono (último),Email,Niveles,Total Chicos,Sección,Otros Contactos,Otros Teléfonos
GAYNOR,4,"2017, 2018, 2019, 2022",4,2.022,NANCY,1162363355,,"2, 5, 1, 123",151,Teatro,SILVIA,4552 6401 | 4552 6401  155161 1929 | 4552 6401  1562363355
GUEMES,4,"2017, 2022",2,2.022,DEL SOLAR,1552489813,,"2, 3",252,Teatro,,4450 1312
HNOS AMEZOLA,4,"2017, 2018",2,2.018,ANDREA,4462 4671   156725 3500,,1,120,Teatro,,4652 5775
HUERtO DE LOS OLIVOS,4,"2018, 2019",2,2.019,FABIANA,116498 9563,,"2, 3, 1",244,Teatro,,11649 89563 | 4799 8903
INMACULADA,4,"2017, 2019, 2024",3,2.024,PATRICIA Y HERNAN,1130301011,secretaria.inmac@gmail.com,"2, 3, 45",244,"Teatro, Viajera",HERNAN BOSCO | HERNAN,4911 1345 | 15444 83929 | 4911 1345 154448 3929
J 916 CARAPACHAY,4,2017,1,2.017,ANALIA,4735 3576,,J,95,Teatro,,
J 923 PALOMAR,4,"2017, 2018",2,2.018,MARIELA AMALIA,4443 4119  1567026219,,J,110,Teatro,MARIELA | VIRGINIA,4443 4119
JARDIN 910 SAN MIGUEL,4,2018,1,2.018,PATRICIA VICE,116043 6228,,J,180,Teatro,PATRICIA,
JESUS EN EL HUERTO,4,"2018, 2019",2,2.019,FABIANA,116498 9563         2X1,,"2, 1",201,Teatro,,1564989563 | 156498 9563
JESUS MARIA,4,2017,1,2.017,ESTELA MARIS,4302 3583,,"J, 3, 12",218,Teatro,MARIA JOSE | ESTELA,4300 2468 | 15610 44632
LUCERO DEL ALBA,4,"2017, 2018, 2019",3,2.019,GISEL,4798 1916  154196 2876,,"6, 2, 4, 45",112,Teatro,MARIELA | 4798 4898 NOELIA,4898 9153 | 4798 1016 | 4898 9153  15588 01755
NTA SRA FATIMA,4,"2018, 2019",2,2.019,SONIA,1528 492837,,"1, 3",194,Teatro,FERNANDA | MELINA PULINET,1524650018 | 4919 8978  15653 99374
NTA SRA LOURDES,4,"2018, 2019",2,2.019,MARTA Y LILIANA,02320 480631  1151789048,,"1, 4, J",298,Teatro,LILIANA | CARLOS | VIVIANA,115247 3678 | 4769 8985  155054 0676 | 4631 2383  153344 0188
PUERTA ABIERTA,4,"2017, 2018, 2022",3,2.022,CLAUDIA 115016497,1150016497,,"45, 1, 2, 3",202,Teatro,VIVIANA | GEORGINA | GABRIELA,4760 8146 | 4566 0552 1568064834 | 15603 91285
SAN CIRANO,4,"2017, 2018, 2019",3,2.019,NADIA,4431 7069  1151319366,,"3, 5",360,Teatro,FLORENCIA | ADRIANA SAFORES,156034N2675 | 4431 7069 | 4431 7069 1160342675
SAN JAVIER,4,"2023, 2024, 2025",3,2.025,ANGELA,1161111839,,"12, 2",364,Teatro,ROSA,11611118139
SAN VTE PAUL,4,"2018, 2019",2,2.019,ANDREA,15639 9613,,"5, 2, 1, 3",120,Teatro,,1156399613 | 115639 9613 WASAP | 115639 9613
SANTIAGO APOSTOL,4,"2017, 2019",2,2.019,CECILIA,4954 6637 155914 3096,,"4, 2, 5",157,Teatro,,4954 6637 | 4954 6637  1559193096 | 4954 6637 155919 3096
SCHILLER,4,"2017, 2019",2,2.019,MARIANA,4501 5929  156495 6327,,"3, 4, 12, J",171,Teatro,FERNANDA,4504 6264
STA MAGDALENA,4,"2017, 2018, 2019",3,2.019,CLARA,4790 3881  153168 8574,,"2, 1, 3",118,Teatro,MARIA | MARTINA,4790 3881 | 4790 3881  154194 3994
STA ROSA DE LIMA,4,"2017, 2018",2,2.018,ROMINA VILLEGA,4762 4051  1558124473,,J,115,Teatro,ROMINA,4762 4051
TOMAS EDISON,4,"2017, 2018",2,2.018,ANALIA,4977 7564  144973 2186,,"1, 4",310,Teatro,ANALIA LAURIA,4977 7564 | 4977 7564   154973 2186
UNITED HIGH,4,2023,1,2.023,ANALIA,1166290211,,1,182,Teatro,CINTIA,1158696978
VALLE GRANDE,4,"2017, 2018, 2019, 2022",4,2.022,LILIANA,1161770936,,"123, 13",219,Teatro,CAROLINA | CAROLINA LILIANA,4566 3935 | 4566 3935  156177 0935
VILLA ADELINA,4,2023,1,2.023,GRACIELA,1157732686,,4,188,Teatro,,
VIRGEN NIÑA,4,"2017, 2019",2,2.019,PAULA,4505 0081  1566255487,,J,128,Teatro,,4505 0081
1 DIST 1,3,2018,1,2.018,PAOLA,4822 9110/ 156958554,,J,150,Teatro,,4822 9110  156958 554
1 DIST 19,3,2019,1,2.019,GISELA,4923 9002  1537798077,,"J, 4",155,Teatro,GRACIELA,4611 3771  155178 7823
11 DIST 16,3,"2017, 2022, 2024",3,2.024,MONI,1121934979,,"4, 2, 1, 2, 4",109,Teatro,GABRIELA VICE | ADRIANA,1544358045 | 4572 5388
11 DIST 18,3,"2017, 2019",2,2.019,VIVIANA NORA ALICIA,64672 3823 1165450679  1133208999,,"3, 2",124,Teatro,GRACIELA RAMOS,4671 1135
14 DIST 17,3,"2018, 2019",2,2.019,TERESA,4644 1766  15406 40935,,"34, 3, 2",92,Teatro,LUIS,4644 1766  156055 2645 | 4644 1766  1540640935
16 DIST 9,3,"2019, 2022",2,2.022,ANDREA,1559398499,,"456, 123",100,Teatro,NATALIA,4783 3922  1534775315
17 DIST 10,3,"2017, 2018, 2019",3,2.019,CLAUDIO BIBLIOT,4781 0672  156116 1967,,"5, 2",141,Teatro,ROXANA | claudia fernandez,4781 0672 | 4781 0672   1561161 967
17 DIST 14,3,"2017, 2018",2,2.018,SANDRA FIORE,4552 5923,,"45, 12345, 123",212,Teatro,ROSANA VICE | ROXANA,
17 DIST 15,3,"2018, 2019",2,2.019,ALVA VICE,4541 4740  156522 7156,,"12, 123",133,Teatro,KARINA DELGADO | ALBA,4541 4740
17 DIST 16,3,"2018, 2023",2,2.023,VIRGINIA,1167554389,,123,211,Teatro,,4571 2528  156755 4389
17 dist 2,3,"2018, 2019",2,2.019,MARIANA,4863 2923  163768 608,,"4, 3",122,Teatro,natalia biblio | NATALIA NELLY,1140950979 | 11409 50979
19 DIST 12,3,"2017, 2018, 2019",3,2.019,CECLIA PAULA,4582 0957  1536497961,,J,190,Teatro,SAMANTAH | SAMANTHA,4613 8291 | 4582 0957 1565163175
19 DIST 19,3,2018,1,2.018,ROXANA,4637 2020  1568888993,,"2, 5",167,Teatro,JULIETA,4637 2020  1568814644 | 4637 2020  156881 4644||
19 DIST 7,3,"2017, 2018",2,2.018,SABRINA,4581 8369  152678 0810,,"1, 2, 12",98,Teatro,JORGE,4581 8369
2 DIST 15,3,"2017, 2018",2,2.018,FEDERICO BIBLI,4521 2182  1534067323,,"12, 4",220,Teatro,ROMINA | PAULA,153812 6258 | 4521 2182
2 DIST 16,3,"2019, 2022",2,2.022,MARCELA,1123635875,,"5, 1, 3",129,Teatro,GISELa | ANDREA,4572 3491  15560524421 | 4572 3491  1555725332
20 DIST 18,3,"2017, 2019",2,2.019,MA ROSARIO,4641 3115  15649 85422,,"1234, 123",119,Teatro,MELINA,4641 3115
21 DIST 14,3,"2017, 2019",2,2.019,VIVIANA,4854 7859  156353 3486,,"45, 12, 2",126,Teatro,GEORGINA | GISELLA,4362 8688 | 4854 7859
21 DIST 8  90000,3,"2018, 2025",2,2.025,NOELIA,1124505371,,"45, 3, 5",115,Teatro,LILIANA BIBLIO | LILIANA,4921 2541  153344 0188 | 113344 0188
22 DIST 2,3,2019,1,2.019,SERGIO,4861 3431  1138677331,,123,129,Teatro,SERGIO O ROCIO,
23 DIST 18,3,"2017, 2019",2,2.019,MARIBEL,4671 5315   15621 42517,,"2, 4, 3",107,Teatro,PERLA,4671 5315 | 4641 2722  116120 4253
25 DIST 7,3,"2018, 2019",2,2.019,ANDREA,443349 50 1558282523,,"45, 2",121,Teatro,SILVIA (COLE MALE),4433 4950  155828 2528 | 4433 4950  156461 7658
26 DIST 1,3,"2018, 2019",2,2.019,SOL MAERO,1569 355224,,4,141,Teatro,SOL,4804 2359  15693552 24
4 DIST 17,3,"2017, 2018, 2019",3,2.019,noelia,4501 5935  1141708751,,"3, J, 2",190,Teatro,CLAUDIA | PAOLA,4501 5935 | 4641 7167  1541972796
6 DIST 9,3,"2017, 2018",2,2.018,ELIZABETH,4771 1204  116491 9481,,"2, 3",120,Teatro,,4771 1204
6 dist 17,3,"2017, 2018",2,2.018,CLAUDIA,4568 9085       156362 9752,,"123, 1, 12",152,Teatro,MARTA | CLAUDIA BI,4568 9085
7 DIST 16,3,"2018, 2019, 2022",3,2.022,LETICIA,1168830690,,123,206,Teatro,PATRICIA ALVAREZ | PATRICIA BIBLO,4501 4739  156119 4074 | 4501 4739  1561 194074
8 DIST 9,3,"2017, 2018",2,2.018,JESICA,11660 32333,,"2, 3",171,Teatro,MARIA LAURA BIBL | PATRICIA,4771 2047
9 DIST 16,3,"2017, 2018, 2019",3,2.019,ROCIO,457235 58 153172 9790,,"67, 4",119,Teatro,ROMINA (JULIAN) | ALEJANDRA,4572 3558 | 4572 3558 1521933939
9 DIST 8,3,"2017, 2018, 2019",3,2.019,NANCY SECRET,4922 3248  155131 2916,,"4, 2",178,Teatro,ROSARIO | SILVIA,15582 62415 | 156873 3735
A GESSEL 4748 4355,3,2017,1,2.017,SILVIA SIANCIO,155140 7153,,"1, 2",190,Teatro,,
ARG MODELO,3,"2017, 2024",2,2.024,CATALINA,1176028599,,J,49,Teatro,PIA | AGUSTINA,4463 3444 | 4880 6556
BELGRANO 1,3,"2017, 2018, 2019",3,2.019,LAURA|,4786 5629  116275 1126,,"J, 23, 12",103,Teatro,PAULA | LAURA,4786 5629 | 4782 9031  15627511 26
BETH $369.000,3,"2019, 2022, 2025",3,2.025,1149920167,CINTIA,,J,133,Teatro,CINTIA | CINTIA GELER,4899 0205 -103  1536174 4723 | 11449920167
CEFERINO NAMUNCURA,3,"2018, 2024",2,2.024,CARMEN,1133812470,,"2, 3, 5Y6",136,Teatro,RAQUEL FIGUEROA,4763 6886 155574 7538
CERVANTES,3,"2017, 2018, 2019",3,2.019,VICTORIA VEGA,4766 4363  153052 4402,,5,175,Teatro,VICTORIA,4766 4363 | 4766 4363   153052 4402
CONCORDIA $90.000,3,"2017, 2025",2,2.025,1154893262,ELUANA,,"3, 6",80,Teatro,MELBA,4720 7797
CREAR Y SER,3,"2017, 2019",2,2.019,CAROLINA,4627 5009  1558 548545,,"12, 2",168,Teatro,SANDRA,5294 8953
CUENTOS Y SAN MARTIN,3,2025,1,2.025,VANI BARLOTA DIRE,1137868076,,,,Viajera,VALERIA TARUSELLI | ANI,1150126579 | 1154565230
DEL MIRADOR,3,"2017, 2023",2,2.023,LAURA MARTIN,1140239423,,"4, 3",146,Teatro,DANIELA,4501 9742
DEL SOL,3,"2017, 2018",2,2.018,GABRIELA,4553 6351 11688 70263,,"2, 3",123,Teatro,BEATRIZ /6009,4553 6351 | 4553 6009 156887 0263
DEVOTO SCHOOL,3,2019,1,2.019,NORBETO,1160 501584,,"J, 3",189,Teatro,ALEJANDRA,4502 7676 153565 1249
ECLESTON,3,"2018, 2023",2,2.023,SILVIA,1159403405,,"4, J",81,Teatro,MARINA,4631 2255  155039 4790
ESC 1DIST 10,3,2022,1,2.022,PAULA,47841640,,"2, 600",180,Teatro,,
ESC CRIST MARTINEZ,3,"2017, 2019",2,2.019,MARIA ANGELES,113860 2639,,"J, j",136,Teatro,ANALIA,4717 6700
ESTRADA,3,"2017, 2022",2,2.022,CAROLINA,1149147580,,"2, 4",108,Teatro,ANAHI,4659 5202
EXPEDICIONARIOS,3,2017,1,2.017,MALENA,153219 7339,,1,96,Teatro,,
GLAUX,3,2018,1,2.018,IRMA,4501 5781,,123,152,Teatro,ESDIAN,
INST  MAIPU,3,2017,1,2.017,ADRIANA,4753 1989,,"2, 3",96,Teatro,,
J 906 HAEDO,3,2017,1,2.017,CAROLINA,1549147580,,J,60,Teatro,,1549 147580 | 15491 47550
JINB DIST 12,3,2017,1,2.017,ADRIANA,4583 8766,,J,256,Teatro,,
JUANA AZURDUY,3,"2024, 2025",2,2.025,CAROLINA,1149147580,,2,101,Teatro,NATALIA,1141993943
JUGUETE,3,2017,1,2.017,14,244,,,696,Teatro,9 | 33,239 | 263
LAS CUMBRES,3,2017,1,2.017,ANGELICA,4804 1205,,J,124,Teatro,,
LOMAS NUÑEZ,3,"2023, 2025",2,2.025,FERNANDA,1169690127,,1,92,Teatro,MARISA,1135637926  47031168
LORENA MACIEL,3,"2022, 2023",2,2.023,1133231132,1133231132,,"4, 5",45,Teatro,PUBLICO,
LOS LEONES,3,"2017, 2018",2,2.018,CAROLINA,4519 1703  154914 7580,,"2, J, 123",132,Teatro,,1549147580 | 154912 7580
LOS ROBLES,3,"2017, 2018, 2024",3,2.024,RUTA RAMAL PILAR,1150057985,vherranz@losroblespilar.esc.edu.ar,J,87,"Teatro, Viajera",NATALIA,4826 1301 | 4822 2008    15303 00703
LOURDES,3,"2017, 2018",2,2.018,LILIANA,115247 3678,,3,95,Teatro,GABRIELA FLORENC,4631 2383
MARIO ALSINA,3,2018,1,2.018,LUCIA,4602 6719,,"4, 3",164,Teatro,,
MORULI,3,2017,1,2.017,SILVANA,4545 6802,,J,281,Teatro,CLAUDIA,
NTA SRA LUJAN,3,"2019, 2022",2,2.022,LUCI,1165119695,,3,161,Teatro,ANDREA | MARCELA,153629 6489 | 4572 3466  152283 2339
NTA SRA MILAGROS,3,"2017, 2019, 2022",3,2.022,ANALIA,46717325  1575409659,,"J, 1",168,Teatro,AMALIA,4671 7325 | 4771 7325  15654096 59
NTA SRA MONSERRAT,3,"2017, 2019",2,2.019,FLORENCIA,4383 7817  15568 2524,,"123, 4",161,Teatro,MARTA,4383 7817
NTA SRA REMEDIOS,3,2017,1,2.017,NATALIA 46839101,154071 23 07,,5,93,Teatro,NATALIA | NATALIA46839101,4683 9101 | 154071 2307
OAKHILL,3,"2017, 2019, 2024",3,2.024,MARIA- PAGADO,1158979858,,J,89,Teatro,SOL 7799 | SOL,4812 7699
PATROCINIO SAN JOSE,3,"2017, 2019",2,2.019,ANDREA,4784 4500 1541592151,,"123, 45",221,Teatro,NORMA | SILVANA,4784 4500 | 15625 81814
RECONQUISTA,3,"2023, 2024",2,2.024,CECILIA,1157230381,,J,92,"Teatro, Viajera",,
ROBERTO ARLT,3,"2019, 2022",2,2.022,STELLA |,1561044632,,"2, 3",199,Teatro,LUCIA | STELLA,1537689578
SAN BARTOLOME,3,"2017, 2018, 2019",3,2.019,ANGELINA,4921 4440  15 6271 7839,,"123, 1",132,Teatro,CECILIA | CECILIA VICA,4921 4440
SAN EDUARDO,3,"2017, 2025",2,2.025,SO,1138388301,,"123, 1, 2",201,Teatro,MIRIAM,1133180792 | 4796 5562
SAN FCO ASIS,3,"2019, 2022",2,2.022,SILVIA,1133210159,,4,100,Teatro,SILVIA CORDES,4703 2155  113321 0159
SAN IGNACIO,3,"2017, 2018, 2019",3,2.019,NATALIA,4799 2703  1550491157,,"2, 1",115,Teatro,CATALINA 4799 6480 | CATALINA O CLAUDIA,4799 2703 | 4799 2703    1538690142
SAN ISIDRO LABRADOR,3,"2018, 2019, 2025",3,2.025,ANI,1168085651,,4,182,Teatro,MARTA LATORRE | PAULA VORSIC,4702 6286  1561108093 | 2702 6286  1558364007
SAN JOSÉ DE FLORES,3,2018,1,2.018,ANDREA,15630 79352,,1,110,Teatro,,
SAN LUCAS,3,"2018, 2024",2,2.024,MIRIAM,113318072,,"1, 4Y",121,Teatro,PAULA | MARIAN,1150031416 | 4799 8421   155949 8481
SAN LUCAS ESCOBAR,3,2025,1,2.025,MARCELA,1139145468,,"5TO, 4, 2",111,Teatro,VICTORIA,1124499797
SAN MARON,3,"2017, 2018, 2025",3,2.025,LUJAN,1132473029,,"67, 123, 7",172,Teatro,CRISTINA NUÑEZ | STELLA MARIS,5252 3470 | 4311 7299  152637 8416
SAN MARTIN ANDES,3,"2017, 2018",2,2.018,STELA MARIS,1562 044632,,"4, 2",128,Teatro,STELLA MAIRIS | STELLA MARIS,1561044632 | 4302 3583
SAN PIO,3,"2018, 2022",2,2.022,CINTIA,1135846919,,"1, 3",114,Teatro,PAOLA,11417 91042
SAN TARSTICIO,3,"2017, 2018, 2019",3,2.019,VICTORIA,4822 2150  116219 7598,,J,83,Teatro,,4822 2150 | 4822 2150  1562197598
SAN VICENTE PAUL,3,"2017, 2024",2,2.024,CANDE,1132290429,,"5, 3",123,Teatro,CECILIA SAUCEDO,4635 3792
SANTA CLARA,3,"2022, 2023",2,2.023,ALICIA,1165593159,,"12, 3",145,Teatro,LUCIA DIAZ,1168532659
SANTA CLARA DE ASIS,3,"2019, 2023",2,2.023,SILVIA,1133210159,,"6, 3",157,Teatro,SILVIA CORDOBA,4541-9911  // 1133210159
SANTA MAGDALENA,3,"2018, 2019",2,2.019,CLARA,4790 3881  1531618574,,2,81,Teatro,MARTINA,4790 3881   1541943994
SCHILLER SCHULE,3,2018,1,2.018,FERNANDA,153903 9304,,"12, 3, 1",99,Teatro,,153903093 04
SRA DEL CARMEN,3,2017,1,2.017,GLADIS,4757 7658,,"1, 23",113,Teatro,CLAUDIA,4924 3119
STA CATALINA $90.000,3,"2017, 2019, 2025",3,2.025,ANDREA,1161591052,,"J, 1, 4",176,Teatro,VALERIA INT 132,4552 4353 INT 152 | 4552 4353  1551162429
SUSINI,3,"2018, 2019, 2024",3,2.024,FLOR,1162824597,,"45, 25, 3",148,Teatro,PRISCILA | CARLA,3966 9705 PART  4631 6954 | 156196 3085
UNITED HIGH SCHOOL,3,2018,1,2.018,CINTIA,4783 3006/9  155869 6978,,"1, 2, 4",167,Teatro,,4783 3006/9  15586 96978
WARD,3,"2017, 2018, 2022",3,2.022,LORENA,1161768127,,"J, 3",174,Teatro,FERNANDA | SILVINA,156507 0696 | 1557 577721
ZACCARIA,3,2019,1,2.019,MARIA DEL CARMEN,inst_zaccaria@yahoo.com.ar,,"4, 123",188,Teatro,MARIA DE CARMEN,430 22895 19016  155 1630813
$90.000 SAN FERNANDO HURLINGHAN,2,2025,1,2.025,LILIANA,1130849003,,4,136,Teatro,,
1 DIST 15,2,"2017, 2018",2,2.018,GABRIELA,5197 6296  154692 5556,,"12, 1",151,Teatro,VIVIANA,4521 1543
1 DIST 17,2,"2017, 2018",2,2.018,CLARA BIBLIO,155048 7205,,1,79,Teatro,CLARA,4501 0529
10 DIST 9,2,2019,1,2.019,ANDREA,4772 1716  155606 9473,,2,48,Teatro,LUCIANA,4772 1716  1154693003
10 RAMOS MEJIA,2,2019,1,2.019,ELIZABETH,4657 5088  116704 1149,,"3, 4",86,Teatro,PATRICIA,116559 0564
10.30 hs,2,2023,1,2.023,70,32,,,76,Teatro,,
11 DIST 10,2,"2017, 2018",2,2.018,ESTER (FACTURA),4788 1759 155826 5526,,"34, 56",70,Teatro,ESTHER,4788 1759
11 DIST 12,2,2017,1,2.017,STEFANIA,4568 4808,,"12, 34567",99,Teatro,MARIANA,
13 DIST 21,2,2018,1,2.018,PAULA,4601 1165 156898 4221,,"12, 123",222,Teatro,ALICIA,4602 6055  15392 37573
14 DIST 18,2,2017,1,2.017,MARCELA,4642 8772,,"1, 4",72,Teatro,GUSTAVO,4431 1110
14.15 HS,2,2023,1,2.023,200,15,,,430,Teatro,,
147 CIUDAD EVITA,2,"2017, 2018",2,2.018,ANALIA,4487 5117    156172 46000,,"5, 4",139,Teatro,,4487 5202
15 DIST 12,2,2018,1,2.018,LUCIA,4613 2865  1561840537,,123,180,Teatro,,
15 DIST 15,2,"2017, 2019",2,2.019,CAROLINA Y ELISA,4541 5200  1559604912,,"23, 12",172,Teatro,GABRIELA,15302 75369
16 DIST 12,2,2018,1,2.018,IVANA,4566 7411  156830 1993,,"123, 6",133,Teatro,ROXANA,4566 7411   1536850900
16 DIST 14,2,2018,1,2.018,SUSANA VICE,4581 4699  156452 4028,,45,38,Teatro,,
16 disdt 17,2,2018,1,2.018,MARISOL,4568 4483  156297 2666,,2,88,Teatro,,
17 DIST 17,2,"2017, 2024",2,2.024,CARLA,1135635638,,"1, 1 Y 6",79,Teatro,MARIA DE ANGELES||,15405 49412
17 SAN ISIDRO,2,2017,1,2.017,MONICA1130189837,4737 5976,,456,80,Teatro,MONICA|4737 5976,
18 DIST 16,2,"2017, 2018",2,2.018,NATALIA,4572 4049  1537559265,,4,48,Teatro,,4572 4049
18 DIST 9,2,2017,1,2.017,SILVIA,4772 1694,,"123, 456",156,Teatro,,4792 1694
18 SAN ISISDRO,2,2017,1,2.017,SILVINA||,155498 5398,,4,91,Teatro,MONICA,4737 5976
19 DIST 11,2,2018,1,2.018,GRACIELA,4671 1050     1549802767,,"1234, 123",146,Teatro,,4671 1050  1549802767
19 DIST 16,2,"2019, 2022",2,2.022,MARIELA,45714655 | 1151334923,,123,96,Teatro,,4571 4855  155133 4923
19 DIST 2,2,2019,1,2.019,JAVIER,4862 4167  1561765309,,"3, 4",130,Teatro,ROXANA,4862 4167  15265 75965
2 DIST 11 $100.000,2,"2018, 2025",2,2.025,JOHANA,1149697724,,"7, 5",80,Teatro,MONICA JANET,4671 1241  15665 84645
2 DIST 6,2,"2017, 2019",2,2.019,DANIELA,4941 3777  155221 4748,,"3, 1",106,Teatro,ISABEL,15640 80673
2 dist 20,2,2019,1,2.019,SANDRA,4641 3921 153043702,,123,180,Teatro,,4641 3921 1530433502
20 dist 17,2,2018,1,2.018,CINTIA ANDREA,4501 9496  155384 2019,,23,88,Teatro,cintia andrea,
22 DIST 14,2,2019,1,2.019,EUGENIA,4522 0372  116194 5974,,"67, 3",121,Teatro,ROXANA,4093 3988  15570813 81
22 DIST 7,2,2018,1,2.018,MARILU,4854 6778  154916 8563,,"J1, 14",114,Teatro,GISELA LOPEZ,
22 HURLINGHAN,2,2017,1,2.017,LUIS MARTINEZ,4665 3168,,6,82,Teatro,LAURA,
22 dist 17,2,2019,1,2.019,LORENA,4567 4573  1556599307,,"1 a 5, 123",113,Teatro,MIRIAM,4567 4573  1557467684
24 DIST 15,2,"2017, 2018",2,2.018,MERCEDES,4546 0690  156272 87 47,,"45, 123",115,Teatro,MONICA,156973 0242
26 DIST 15,2,"2017, 2019",2,2.019,MONICA,4552 4004  1159069523,,"12, 2",70,Teatro,MARIANO||,4552 4004
29 TRES DE FEBRERO,2,2019,1,2.019,GRACIELA,4657 9144 156523 4808,,6,44,Teatro,,
3 DIST 18,2,"2018, 2019",2,2.019,VERONICA,4566 4798  1539038566,,"34, 123",70,Teatro,,4566 4798  1539028566
30 DE FLORENCIO VARELA,2,2019,1,2.019,TATIANA,4268 4000   1140288 54,,4,240,Teatro,,
4 DIST 18,2,2018,1,2.018,CLAUDIA GATUSO,4566 2031  15573 3946,,23,78,Teatro,,
5 dist 6,2,"2018, 2019",2,2.019,YAMILA,4931 3198  11325588158,,"2, J",89,Teatro,,4931 3198  1135588158
6 DIST 6,2,2019,1,2.019,JUANITA,4943 0553  1568085123,,4,85,Teatro,,4943 0553 156808 5123
6 dist 5,2,2017,1,2.017,CRISITNA,4304 8350,,"2, 4",113,Teatro,cristina,
7 DIST 12,2,"2017, 2022",2,2.022,SILVIA TOÑACA,1524887658,,"J, 2",135,Teatro,ADRIANA,4583 8766
7 SAN FERNANDO,2,2017,1,2.017,MARIA,4714 7131,,6,60,Teatro,,
8 DIST 16,2,2017,1,2.017,GABRIELA,4501 4837,,"35, 45",78,Teatro,,
8 dist 8,2,"2017, 2018",2,2.018,KARINA,4922 9831  156162 8844,,"5, 4",71,Teatro,KARINA 5,4922 9831
9 DIST 15,2,2022,1,2.022,SILVANA,1121775933,,,76,Teatro,,
912 HURLINGHAN,2,2017,1,2.017,ADRIANA,15356 54855,,J,50,Teatro,,
A TOGNONI,2,2019,1,2.019,LUCIA,4773 3216  1541 57840,,"12, 23",73,Teatro,BELEN,4773 3216  1126669748
ALEGRIA Y CAMINITO,2,2025,1,2.025,PAULA DIRE,1164542033,,,,Viajera,ALEJANDRA DIRE,
ALETHEIA,2,"2017, 2024",2,2.024,LAU,1135841008,,"4, 1",99,Teatro,JULIA,4961 0814
ALSINA,2,2018,1,2.018,FLORENCIA,4602 6719   153463888,,12,195,Teatro,,
ANDERSEN PACH,2,2022,1,2.022,ERIKA,1164677065,,"3, 1",156,Teatro,,
ANGELES CUSTODIOS,2,2019,1,2.019,ROMINA,4661 1998  1544102891,,5,77,Teatro,,
AQUÍ ESTOY,2,"2017, 2018",2,2.018,SILVIA DIRE,4925 0257  154074 2978,,J,48,Teatro,SILVIA,4925 0527
ARCO IRIS,2,2023,1,2.023,CINTIA,1123198741,,12,80,Teatro,,
ARG B F MORENO,2,2019,1,2.019,LAURA,4644 2075   116493 8589,,J,100,Teatro,,
ARGENTINA MODELO $45.000,2,"2017, 2025",2,2.025,CATALINA,1176028599,,J,28,Teatro,MERCEDES,4880 6558
ARGENTINO COREANO,2,2019,1,2.019,MARTIN LOPEZ TURISMO,15402 39423,,"123, 4567",100,Teatro,,
ARNOLD GESSEL,2,2023,1,2.023,SILVIA,1151407153,,1,134,Teatro,,
BERTHIER,2,2023,1,2.023,NURIA,1530933125,,2,94,Teatro,,
BETEL,2,2018,1,2.018,ELI,4554 3202   153180 2227,,"1, J",99,Teatro,RAQUEL,4554 3203 155794 2432
BETHER,2,2017,1,2.017,NURIA,15309 33125,,"J, 1",162,Teatro,DANIELA,155857 6068
BETHIER,2,2017,1,2.017,NURIA,4671 8664,,"2, 23",115,Teatro,,
BUENOS AIRES V CRESPO,2,2017,1,2.017,AGUSTIN IUSSIG,4854 3882,,4,29,Teatro,,
C CULT ITALIANO,2,"2018, 2019",2,2.019,MAYRA,4766 7398  155053 9436,,"1, 2",72,Teatro,FLORENCIA,4766 7398  155757 3223
CANTO A LA VIDA,2,2017,1,2.017,ESTELA DIRE,4601 0607,,j,68,Teatro,,
CARDENAL COPELLO,2,2019,1,2.019,MERY,4504 7822  15366259 55,,J,124,Teatro,BELEN,4504 7822  113561 0746
CARDOSO,2,2017,1,2.017,LETICIA,4750 0811,,J,115,Teatro,,
CASTRO BARROS,2,"2017, 2022",2,2.022,GABRIELA,1133802122,,"5, 4",108,Teatro,PAULA FIERI,4202 5802
CELESTIBLANCA,2,2019,1,2.019,167,63,,,124,Teatro,154,76
CELSTIBLANCA,2,2019,1,2.019,22,252,,,394,Teatro,50,180
CENTES 3 SIT 18,2,2017,1,2.017,VIVIANA,4567 1439,,J,30,Teatro,,
CHILAVERT,2,2018,1,2.018,MANUEL,47200 637 1538140667,,1,95,Teatro,,
CHOCOLATE . MONDONGO,2,2023,1,2.023,PATRICIA,1138002330,,,,Viajera,,
CHOCOLATE Y MONDONGO,2,2025,1,2.025,CELESTE,46391185,,,,Viajera,,
CIUDAD JARDIN,2,"2017, 2018",2,2.018,ANDREA,4751 0376   153429 2106,,4,95,Teatro,MELISA,4751 0376
COPELLO,2,"2017, 2018",2,2.018,KARINA,4501 3029 / 1535106555,,"2, 3",200,Teatro,NATALIA,4501 3029
CORAZON EUCARIST. LA PLATA,2,2019,1,2.019,MARIA LAURA,0221 4227511    2216381974,,2,74,Teatro,,0221 4227511   2216381974
CRISTO MAESTRO,2,2017,1,2.017,FERNANDA,4568 0225,,"123, J",114,Teatro,BLANCA,
CUENTOS SAN MARTIN,2,2023,1,2.023,SILVIA,1164908017,silviapompei@hotmail.com,,,Viajera,,
DA VINCI BOULGNE,2,2019,1,2.019,MARIELA,4737 5313  156820 0341,,5,126,Teatro,,
DAMASO,2,"2017, 2025",2,2.025,ROSANA AGENCIA,1149912109,,"J, 2",145,Teatro,M ELENA,4771 9637
DAMASO CENTENO,2,"2017, 2022",2,2.022,HELENA,11409664594,,J,131,Teatro,MARIA ELENA,4771 9637
